GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Examen_Final_ChristianRojas,cslab,Blockudoku,488,78,70,4,85,10,40,5,5,3
Examen_Final_ChristianRojas,cslab.makeImages,BarImage,46,0,2,0,9,0,3,0,2,0
Examen_Final_ChristianRojas,cslab.makeImages,BarChartMonitor,20,0,0,0,6,0,2,0,2,0
Examen_Final_ChristianRojas,cslab.makeImages,PieChartMonitor,20,0,0,0,6,0,2,0,2,0
Examen_Final_ChristianRojas,cslab.makeImages,PieImage,55,0,2,0,13,0,3,0,2,0
Examen_Final_ChristianRojas,cslab.makeImages,Subject,46,0,0,0,10,0,2,0,2,0
